name,squares,circles,up,right,down,left
img_00000.png,0,0,4,0,6,0
img_00001.png,0,0,0,5,0,5
img_00002.png,0,0,8,0,2,0
img_00003.png,0,7,0,0,0,3
img_00004.png,0,0,3,0,0,7
img_00005.png,0,0,5,0,5,0
img_00006.png,0,8,0,0,2,0
img_00007.png,0,4,6,0,0,0
img_00008.png,0,0,0,7,0,3
img_00009.png,0,0,0,4,6,0
img_00010.png,0,0,0,4,6,0
img_00011.png,0,0,3,0,7,0
img_00012.png,7,0,0,3,0,0
img_00013.png,0,0,0,8,0,2
img_00014.png,0,3,0,0,0,7
img_00015.png,0,0,0,6,0,4
img_00016.png,6,0,0,4,0,0
img_00017.png,2,0,0,0,0,8
img_00018.png,0,0,0,0,4,6
img_00019.png,0,0,7,0,0,3
img_00020.png,0,0,0,3,7,0
img_00021.png,0,0,0,2,8,0
img_00022.png,0,0,5,5,0,0
img_00023.png,0,8,0,0,0,2
img_00024.png,0,0,0,4,6,0
img_00025.png,0,0,4,0,0,6
img_00026.png,0,0,0,5,0,5
img_00027.png,0,0,0,2,8,0
img_00028.png,0,0,6,0,4,0
img_00029.png,6,0,4,0,0,0
img_00030.png,7,0,0,0,3,0
img_00031.png,0,0,0,6,4,0
img_00032.png,0,0,0,0,8,2
img_00033.png,0,6,0,0,4,0
img_00034.png,0,0,8,0,0,2
img_00035.png,0,0,7,0,0,3
img_00036.png,0,0,4,6,0,0
img_00037.png,8,0,0,0,2,0
img_00038.png,0,7,0,0,0,3
img_00039.png,0,0,8,0,0,2
img_00040.png,0,7,0,0,0,3
img_00041.png,0,0,8,2,0,0
img_00042.png,0,5,0,5,0,0
img_00043.png,0,0,0,0,4,6
img_00044.png,0,0,4,0,6,0
img_00045.png,0,6,4,0,0,0
img_00046.png,4,0,6,0,0,0
img_00047.png,0,0,0,0,2,8
img_00048.png,0,0,5,0,0,5
img_00049.png,0,0,8,2,0,0
img_00050.png,0,0,0,8,0,2
img_00051.png,0,0,7,0,3,0
img_00052.png,0,0,0,2,0,8
img_00053.png,8,0,0,2,0,0
img_00054.png,0,0,6,0,0,4
img_00055.png,6,0,0,0,4,0
img_00056.png,0,0,0,0,2,8
img_00057.png,2,8,0,0,0,0
img_00058.png,6,0,4,0,0,0
img_00059.png,0,0,2,8,0,0
img_00060.png,0,0,4,0,0,6
img_00061.png,5,0,0,0,5,0
img_00062.png,0,0,6,0,0,4
img_00063.png,0,7,0,0,0,3
img_00064.png,0,5,0,0,0,5
img_00065.png,8,0,0,0,2,0
img_00066.png,0,8,0,2,0,0
img_00067.png,0,3,0,0,7,0
img_00068.png,0,0,4,0,0,6
img_00069.png,6,4,0,0,0,0
img_00070.png,0,0,4,6,0,0
img_00071.png,6,0,4,0,0,0
img_00072.png,7,0,0,0,0,3
img_00073.png,2,0,8,0,0,0
img_00074.png,5,0,0,0,0,5
img_00075.png,0,0,0,2,8,0
img_00076.png,0,0,5,0,5,0
img_00077.png,8,2,0,0,0,0
img_00078.png,0,0,7,0,0,3
img_00079.png,7,3,0,0,0,0
img_00080.png,2,0,0,0,8,0
